App,Sentiment_Polarity,Rating
HomeWork,1.0,4.300000000000002
Bed Time Fan - White Noise Sleep Sounds,0.78125,4.5
Cameringo Lite. Filters Camera,0.7702690972222221,4.199999999999994
Google Primer,0.75,4.400000000000003
GPS Map Free,0.7,4.0
GPS Speedometer and Odometer,0.6875,4.8000000000000025
Best Ovulation Tracker Fertility Calendar App Glow,0.5953125,4.599999999999996
3D Live Neon Weed Launcher,0.5681818181818181,4.5
"CM Flashlight (Compass, SOS)",0.55625,4.399999999999997
Hipmunk Hotels & Flights,0.5463015873015874,4.300000000000002
C++ Tutorials,0.5309259259259259,4.099999999999997
"All Football GO- Live Score, Games",0.5265151515151514,4.599999999999996
Home Workout for Men - Bodybuilding,0.5234495192307692,4.8000000000000025
Door Lock Screen,0.5166216422466423,4.300000000000002
Golden Launcher,0.5070793460925039,4.400000000000003
"Eve Period Tracker - Love, Sex & Relationships App",0.5050367080835831,4.599999999999996
All Events in City,0.5028597402597402,4.0
Comptia A+ 220-901 & 220-902,0.5007922824302133,4.3999999999999995
All-in-One Mahjong 3 FREE,0.5,4.5
Brightest Flashlight Free ®,0.4925714285714286,4.6999999999999975
Easy Hair Style Design,0.49020370370370353,4.299999999999998
Best Wallpapers QHD,0.4722514455782313,4.400000000000003
Hairstyles step by step,0.47091306584362136,4.600000000000008
10 Best Foods for You,0.47073282065872246,4.0
Calls & Text by Mo+,0.46666666666666673,4.200000000000005
"Apartment List: Housing, Apt, and Property Rentals",0.46642287234042545,4.5
Goku Wallpaper Art,0.4643197278911565,4.6999999999999975
Amazon Prime Video,0.46111111111111114,4.199999999999998
HD Camera - Quick Snap Photo & Video,0.4556862745098039,4.5
Accounting App - Zoho Books,0.44866448692152927,4.5
"Home workouts - fat burning, abs, legs, arms,chest",0.4482204861111111,4.300000000000002
DIY On A Budget,0.4480626407472999,4.6999999999999975
"APUS Launcher - Theme, Wallpaper, Hide Apps",0.4474731182795699,4.5
FreePrints – Free Photos Delivered,0.4461811075370103,4.8000000000000025
Easy Healthy Recipes,0.44576247387669793,4.099999999999998
Blood Pressure,0.44494301994301977,4.199999999999994
DIY Garden Ideas,0.44404411764705887,4.099999999999997
365Scores - Live Scores,0.4383116883116883,4.600000000000004
Easy Voice Recorder,0.4358370518370519,4.400000000000003
APE Weather ( Live Forecast),0.4323232323232322,4.300000000000002
All Football - Latest News & Videos,0.4320632947781386,4.600000000000004
Gold Butterfly Keyboard Theme,0.4308228519166018,4.300000000000002
Dresses Ideas & Fashions +3000,0.43060344827586206,4.5
Chakra Cleansing,0.42473518668831184,4.599999999999996
Cheapflights – Flight Search,0.42191239316239304,4.399999999999997
Fantasy Football & NFL News,0.42124115807939344,4.5
FlirtChat - ♥Free Dating/Flirting App♥,0.42099257884972185,4.2999999999999945
High Blood Pressure Symptoms,0.41953359609609603,4.15
Baritastic - Bariatric Tracker,0.4182767368626745,4.6999999999999975
Crew - Free Messaging and Scheduling,0.4173319523358587,4.600000000000014
Coloring & Learn,0.41382226874003186,4.400000000000003
FlipaClip - Cartoon animation,0.41264880952380956,4.300000000000002
2RedBeans,0.41219917902610204,4.0
Contacts+,0.4108145831994516,4.199999999999998
GRE Tutor,0.40869463869463873,4.0
Flashlight,0.40540008503401354,4.5
Football Live Scores,0.4050258891435362,4.5
Flashlight - Torch LED Light,0.40452513227513226,4.400000000000003
Edmodo,0.40415553494124923,4.100000000000002
Healthy Recipes Free,0.4033939116439117,4.0
GPS Status & Toolbox,0.3980736961451247,4.5
Flippy Campus - Buy & sell on campus at a discount,0.39528393175452,4.0
Free live weather on screen,0.3942586105415052,4.400000000000003
Curriculum vitae App CV Builder Free Resume Maker,0.39370348219032436,4.5
English-Myanmar Dictionary,0.39351342371079207,4.400000000000003
All Language Translator Free,0.3927835497835497,4.400000000000003
Babbel – Learn Languages,0.39163615319865325,4.29999999999997
Health and Nutrition Guide,0.3915107709750566,4.299999999999978
"CallApp: Caller ID, Blocker & Phone Call Recorder",0.3907407407407408,4.399999999999997
Butterfly Live Wallpaper,0.3902759740259741,4.099999999999997
Associated Credit Union Mobile,0.3880928287981859,4.6999999999999975
Drawing for Kids Learning Games for Toddlers age 3,0.38666666666666666,4.599999999999996
Barcode Scanner,0.3862701337701337,4.199999999999998
Golfshot Plus: Golf GPS,0.3861793695887446,4.099999999999997
EatStreet Food Delivery App,0.3832653026403027,4.599999999999996
All Video Downloader 2018,0.3826797385620915,4.300000000000002
"Gametime - Tickets to Sports, Concerts, Theater",0.3797400972400972,4.5
HESI A2 Pocket Prep,0.3791468253968254,4.300000000000002
EzCalculator,0.37776996943115365,4.099999999999997
HD Camera for Android,0.37619140624999997,4.100000000000012
Calorie Counter - MyNetDiary,0.37584199559148157,4.5
"Candy selfie - photo editor, live filter camera",0.37279761904761904,4.400000000000003
Blur Image Background,0.37271780303030294,3.8999999999999995
Fraction Calculator Plus Free,0.37264092538286087,4.5
DreamTrips,0.37127677775655726,4.6999999999999975
"GPS Speedometer, Distance Meter",0.36889508928571424,4.599999999999996
Happy Birthday Songs Offline,0.36470588235294116,4.400000000000003
Cooking Channel,0.3640189440189441,4.099999999999997
Diabetes & Diet Tracker,0.3636273107523108,4.600000000000014
Bathroom Decorating Ideas,0.36267578124999994,4.099999999999997
Anime Manga Coloring Book,0.3609907670454546,4.5
ForecaWeather,0.36090676501860713,4.199999999999998
Family Locator - GPS Tracker,0.3585753523851348,4.399999999999989
All Maths Formulas,0.354636544011544,4.400000000000003
